"";"a";"b"
"211";"FERNANDO_COELHO_FILHO";"141431"
"212";"FERNANDO_FERRO";"74417"
"213";"FERNANDO_FRANCISCHINI";"160646"
"214";"FERNANDO_JORDAO";"163831"
"215";"FERNANDO_LOPES";"74843"
"216";"FERNANDO_MARRONI";"73481"
"217";"FERNANDO_TORRES";"160676"
"218";"FERNANDO_ZACHIA";"179383"
"219";"FILIPE_PEREIRA";"141433"
"220";"FLAVIA_MORAIS";"160598"
"221";"FLAVIANO_MELO";"141434"
"222";"FRANCISCO_ARAUJO";"165675"
"223";"FRANCISCO_CHAGAS";"172029"
"224";"FRANCISCO_DE_ASSIS";"178387"
"225";"FRANCISCO_ESCORCIO";"137983"
"226";"FRANCISCO_FLORIANO";"160677"
"227";"FRANCISCO_PRACIANO";"141438"
"228";"FRANCISCO_TENORIO";"141467"
"229";"GABRIEL_CHALITA";"160537"
"230";"GABRIEL_GUIMARAES";"129037"
"231";"GASTAO_VIEIRA";"74200"
"232";"GEAN_LOUREIRO";"165429"
"233";"GENECIAS_NORONHA";"160669"
"234";"GEORGE_HILTON";"141441"
"235";"GERA_ARRUDA";"145895"
"236";"GERALDO_RESENDE";"74374"
"237";"GERALDO_SIMOES";"74566"
"238";"GERALDO_THADEU";"74151"
"239";"GIACOBO";"74383"
"240";"GILBERTO_COUTINHO";"179380"
"241";"GILMAR_MACHADO";"74581"
"242";"GIOVANI_CHERINI";"160673"
"243";"GIOVANNI_QUEIROZ";"74077"
"244";"GIROTO";"160562"
"245";"GIVALDO_CARIMBAO";"74558"
"246";"GLADSON_CAMELI";"141446"
"247";"GLAUBER_BRAGA";"152605"
"248";"GOIACIARA_CRUZ";"173802"
"249";"GONZAGA_PATRIOTA";"74419"
"250";"GORETE_PEREIRA";"129618"
"251";"GUILHERME_CAMPOS";"141447"
"252";"GUILHERME_MUSSI";"160667"
"253";"GUSTAVO_PETTA";"176120"
"254";"HELCIO_SILVA";"175737"
"255";"HELENO_SILVA";"74053"
"256";"HELIO_SANTOS";"160590"
"257";"HENRIQUE_AFONSO";"73940"
"258";"HENRIQUE_EDUARDO_ALVES";"74324"
"259";"HENRIQUE_FONTANA";"73482"
"260";"HENRIQUE_OLIVEIRA";"68731"
"261";"HERMES_PARCIANELLO";"73772"
"262";"HEULER_CRUVINEL";"160596"
"263";"HOMERO_PEREIRA";"141448"
"264";"HUGO_LEAL";"141450"
"265";"HUGO_MOTTA";"160674"
"266";"HUGO_NAPOLEAO";"160974"
"267";"HUMBERTO_MICHILES";"73935"
"268";"HUMBERTO_SOUTO";"74662"
"269";"IARA_BERNARDI";"74780"
"270";"ILARIO_MARQUES";"173262"
"271";"INOCENCIO_OLIVEIRA";"74421"
"272";"IRACEMA_PORTELLA";"67138"
"273";"IRAJA_ABREU";"81232"
"274";"IRINY_LOPES";"74162"
"275";"IRIS_DE_ARAUJO";"141453"
"276";"ISAIAS_SILVESTRE";"74152"
"277";"IVAN_VALENTE";"73531"
"278";"IZALCI";"4931"
"279";"JAIME_MARTINS";"74665"
"280";"JAIR_BOLSONARO";"74847"
"281";"JAIRO_ATAIDE";"3151"
"282";"JANDIRA_FEGHALI";"74848"
"283";"JANETE_CAPIBERIBE";"73926"
"284";"JANETE_ROCHA_PIETA";"141455"
"285";"JANIO_NATAL";"160675"
"286";"JAQUELINE_RORIZ";"97822"
"287";"JEAN_WYLLYS";"160672"
"288";"JEFFERSON_CAMPOS";"74273"
"289";"JERONIMO_GOERGEN";"160570"
"290";"JESUS_RODRIGUES";"160671"
"291";"JHONATAN_DE_JESUS";"160531"
"292";"JILMAR_TATTO";"141456"
"293";"JO_MORAES";"141503"
"294";"JOAO_ANANIAS";"160574"
"295";"JOAO_ARRUDA";"160573"
"296";"JOAO_BITTAR";"141457"
"297";"JOAO_CALDAS";"74559"
"298";"JOAO_CAMPOS";"74366"
"299";"JOAO_CARLOS_BACELAR";"141458"
"300";"JOAO_DADO";"73682"
"301";"JOAO_LEAO";"74550"
"302";"JOAO_LYRA";"74049"
"303";"JOAO_MAGALHAES";"74120"
"304";"JOAO_MAIA";"141459"
"305";"JOAO_PAULO_CUNHA";"73534"
"306";"JOAO_PAULO_LIMA";"160549"
"307";"JOAO_PIZZOLATTI";"73874"
"308";"JOAO_RODRIGUES";"160571"
"309";"JOAQUIM_BELTRAO";"141461"
"310";"JONAS_DONIZETTE";"160548"
"311";"JORGE_BITTAR";"74686"
"312";"JORGE_BOEIRA";"74388"
"313";"JORGE_CORTE_REAL";"160572"
"314";"JORGE_PINHEIRO";"73569"
"315";"JORGE_TADEU_MUDALEN";"73535"
"316";"JORGINHO_MELLO";"160509"
"317";"JOSE_AIRTON";"141464"
"318";"JOSE_ANIBAL";"73536"
"319";"JOSE_AUGUSTO_MAIA";"160661"
"320";"JOSE_CARLOS_ARAUJO";"74140"
"321";"JOSE_CARLOS_VIEIRA";"73875"
"322";"JOSE_CHAVES";"74423"
"323";"JOSE_DE_FILIPPI";"160560"
"324";"JOSE_GENOINO";"73540"
"325";"JOSE_GUIMARAES";"141470"
"326";"JOSE_HUMBERTO";"160396"
"327";"JOSE_LINHARES";"74297"
"328";"JOSE_MENTOR";"74275"
"329";"JOSE_NUNES";"160619"
"330";"JOSE_OTAVIO_GERMANO";"74395"
"331";"JOSE_PRIANTE";"74079"
"332";"JOSE_ROCHA";"74554"
"333";"JOSE_STEDILE";"160607"
"334";"JOSEPH_BANDEIRA";"4929"
"335";"JOSIAS_GOMES";"74141"
"336";"JOSUE_BENGTSON";"74351"
"337";"JOVAIR_ARANTES";"73666"
"338";"JULIO_CAMPOS";"160519"
"339";"JULIO_CESAR";"74317"
"340";"JULIO_DELGADO";"73586"
"341";"JULIO_LOPES";"74253"
"342";"JULIO_SEMEGHINI";"74783"
"343";"JUNIOR_COIMBRA";"160648"
"344";"JUNJI_ABE";"160544"
"345";"JUTAHY_JUNIOR";"74570"
"346";"KEIKO_OTA";"160659"
"347";"LAEL_VARELLA";"74742"
"348";"LAERCIO_OLIVEIRA";"151208"
"349";"LAUREZ_MOREIRA";"141479"
"350";"LAURIETE";"160534"
"351";"LAZARO_BOTELHO";"141480"
"352";"LEANDRO_VILELA";"74367"
"353";"LELO_COIMBRA";"141562"
"354";"LEO_OLIVEIRA";"179385"
"355";"LEOMAR_QUINTANILHA";"73716"
"356";"LEONARDO_GADELHA";"122195"
"357";"LEONARDO_MONTEIRO";"74156"
"358";"LEONARDO_PICCIANI";"74254"
"359";"LEONARDO_QUINTAO";"141482"
"360";"LEONARDO_VILELA";"74368"
"361";"LEOPOLDO_MEYER";"160663"
"362";"LILIAM_SA";"160533"
"363";"LINCOLN_PORTELA";"74585"
"364";"LINDOMAR_GARCON";"141483"
"365";"LIRA_MAIA";"141462"
"366";"LOURIVAL_MENDES";"160555"
"367";"LUCI_CHOINACKI";"73474"
"368";"LUCIANA_SANTOS";"160628"
"369";"LUCIANO_CASTRO";"73982"
"370";"LUCIANO_MOREIRA";"160513"
"371";"LUCIANO_PIZZATTO";"73777"
"372";"LUCIO_VALE";"141484"
"373";"LUCIO_VIEIRA_LIMA";"94931"
"374";"LUIS_CARLOS_HEINZE";"73483"
"375";"LUIS_TIBE";"160510"
"376";"LUIZ_ALBERTO";"74133"
"377";"LUIZ_ARGOLO";"160547"
"378";"LUIZ_CARLOS";"160645"
"379";"LUIZ_CARLOS_BUSATO";"141485"
"380";"LUIZ_CARLOS_HAULY";"73778"
"381";"LUIZ_CARLOS_SETIM";"141486"
"382";"LUIZ_COUTO";"74041"
"383";"LUIZ_DE_DEUS";"171618"
"384";"LUIZ_FERNANDO_FARIA";"141487"
"385";"LUIZ_FERNANDO_MACHADO";"160662"
"386";"LUIZ_NISHIMORI";"162332"
"387";"LUIZ_NOE";"161962"
"388";"LUIZ_OTAVIO";"161906"
"389";"LUIZ_PITIMAN";"160550"
"390";"LUIZ_SERGIO";"74688"
"391";"LUIZA_ERUNDINA";"74784"
"392";"MAGDA_MOFATTO";"166402"
"393";"MAGELA";"74802"
"394";"MAJOR_FABIO";"149327"
"395";"MANDETTA";"160633"
"396";"MANOEL_ANTUNES";"179382"
"397";"MANOEL_JUNIOR";"141490"
"398";"MANOEL_SALVIANO";"74456"
"399";"MANUEL_ROSA_NECA";"171622"
"400";"MANUELA_DAVILA";"141492"
"401";"MARA_GABRILLI";"160565"
"402";"MARCAL_FILHO";"74124"
"403";"MARCELINHO_CARIOCA";"178821"
"404";"MARCELO_AGUIAR";"160660"
"405";"MARCELO_ALMEIDA";"146613"
"406";"MARCELO_CASTRO";"74460"
"407";"MARCELO_GUIMARAES_FILHO";"74143"
"408";"MARCELO_MATOS";"76287"
"409";"MARCIO_BITTAR";"74363"
"410";"MARCIO_FRANCA";"141497"
"411";"MARCIO_JUNQUEIRA";"141496"
"412";"MARCIO_MACEDO";"160542"
"413";"MARCIO_MARINHO";"150418"
"414";"MARCIO_REINALDO_MOREIRA";"74744"
"415";"MARCO_MAIA";"133373"
"416";"MARCO_TEBALDI";"160536"
"417";"MARCON";"160535"
"418";"MARCOS_LIMA";"74745"
"419";"MARCOS_MEDRADO";"74634"
"420";"MARCOS_MONTES";"141500"
"421";"MARCOS_ROGERIO";"167722"
"422";"MARCUS_PESTANA";"159238"
"423";"MARCUS_VICENTE";"74235"
"424";"MARGARIDA_SALOMAO";"171619"
"425";"MARIA_DO_ROSARIO";"74398"
"426";"MARIA_LUCIA_PRANDI";"176794"
"427";"MARINA_SANTANNA";"164361"
"428";"MARINHA_RAUPP";"74177"
"429";"MARIO_DE_OLIVEIRA";"74747"
"430";"MARIO_FEITOZA";"168447"
"431";"MARIO_HERINGER";"74158"
"432";"MARIO_NEGROMONTE";"74635"
"433";"MARLLOS_SAMPAIO";"121759"
"434";"MASSAMI_MIKI";"179880"
"435";"MAURICIO_ALMEIDA";"179386"
"436";"MAURICIO_DZIEDRICKI";"75431"
"437";"MAURICIO_QUINTELLA_LESSA";"74050"
"438";"MAURICIO_RANDS";"74045"
"439";"MAURICIO_TRINDADE";"141506"
"440";"MAURO_BENEVIDES";"73588"
"441";"MAURO_LOPES";"74749"
"442";"MAURO_MARIANI";"141507"
"443";"MAURO_NAZIF";"141508"
"444";"MAX_FILHO";"178827"
"445";"MENDES_RIBEIRO_FILHO";"73904"
"446";"MENDONCA_FILHO";"74428"
"447";"MENDONCA_PRADO";"74056"
"448";"MIGUEL_CORREA";"141509"
"449";"MILTON_MONTI";"74787"
"450";"MIRIQUINHO_BATISTA";"160644"
"451";"MIRO_TEIXEIRA";"74862"
"452";"MISSIONARIO_JOSE_OLIMPIO";"160561"
"453";"MOACIR_MICHELETTO";"74238"
"454";"MOREIRA_MENDES";"141537"
"455";"NARCIO_RODRIGUES";"74108"
"456";"NATAN_DONADON";"133372"
"457";"NAZARENO_FONTELES";"74491"
"458";"NEILTON_MULIM";"141510"
"459";"NELSON_BORNIER";"73416"
"460";"NELSON_MARCHEZAN_JUNIOR";"160567"
"461";"NELSON_MARQUEZELLI";"73553"
"462";"NELSON_MEURER";"73781"
"463";"NELSON_PADOVANI";"160566"
"464";"NELSON_PELLEGRINO";"74571"
"465";"NERI_GELLER";"146307"
"466";"NEWTON_CARDOSO";"74750"
"467";"NEWTON_LIMA";"160657"
"468";"NICE_LOBAO";"74447"
"469";"NILDA_GONDIM";"160564"
"470";"NILMAR_RUIZ";"73594"
"471";"NILMARIO_MIRANDA";"74751"
"472";"NILSON_LEITAO";"166401"
"473";"NILSON_PINTO";"74352"
"474";"NILTON_CAPIXABA";"74359"
"475";"ODAIR_CUNHA";"74159"
"476";"ODILIO_BALBINOTTI";"73782"
"477";"OLIVEIRA_FILHO";"73464"
"478";"ONOFRE_SANTO_AGOSTINI";"160563"
"479";"ONYX_LORENZONI";"74399"
"480";"OSMAR_JUNIOR";"141514"
"481";"OSMAR_SERRAGLIO";"73463"
"482";"OSMAR_TERRA";"73692"
"483";"OSVALDO_COELHO";"74430"
"484";"OSVALDO_REIS";"74191"
"485";"OTAVIO_LEITE";"141515"
"486";"OTONIEL_LIMA";"160540"
"487";"OZIEL_OLIVEIRA";"160650"
"488";"PADRE_JOAO";"160556"
"489";"PADRE_TON";"160670"
"490";"PAES_LANDIM";"74319"
"491";"PASTOR_EURICO";"160642"
"492";"PASTOR_MARCO_FELICIANO";"160601"
"493";"PAUDERNEY_AVELINO";"74095"
"494";"PAULAO";"171617"
"495";"PAULO_ABI-ACKEL";"141516"
"496";"PAULO_BORNHAUSEN";"73883"
"497";"PAULO_CESAR_QUARTIERO";"160668"
"498";"PAULO_FEIJO";"74017"
"499";"PAULO_FERREIRA";"109372"
"500";"PAULO_FOLETTO";"160517"
"501";"PAULO_FREIRE";"160558"
"502";"PAULO_HENRIQUE_LUSTOSA";"141517"
"503";"PAULO_MAGALHAES";"74574"
"504";"PAULO_MALUF";"132056"
"505";"PAULO_MARINHO_JUNIOR";"128760"
"506";"PAULO_PEREIRA_DA_SILVA";"141518"
"507";"PAULO_PIAU";"141519"
"508";"PAULO_PIMENTA";"74400"
"509";"PAULO_RUBEM_SANTIAGO";"74047"
"510";"PAULO_TADEU";"160658"
"511";"PAULO_TEIXEIRA";"141488"
"512";"PAULO_WAGNER";"160593"
"513";"PEDRO_CHAVES";"74812"
"514";"PEDRO_EUGENIO";"74556"
"515";"PEDRO_FERNANDES";"74449"
"516";"PEDRO_GUERRA";"174314"
"517";"PEDRO_HENRY";"74111"
"518";"PEDRO_NOVAIS";"74207"
"519";"PEDRO_PAULO";"122158"
"520";"PEDRO_UCZAI";"160604"
"521";"PENNA";"80920"
"522";"PEPE_VARGAS";"141445"
"523";"PERPETUA_ALMEIDA";"73943"
"524";"PINTO_DE_LUNA";"179384"
"525";"PINTO_ITAMARATY";"141465"
"526";"PLINIO_VALERIO";"172711"
"527";"POLICARPO";"162174"
"528";"PROFESSOR_SERGIO_DE_OLIVEIRA";"170673"
"529";"PROFESSOR_SETIMO";"141543"
"530";"PROFESSOR_VICTORIO_GALLI";"148134"
"531";"PROFESSORA_DORINHA_SEABRA_REZENDE";"160639"
"532";"PROFESSORA_MARCIVANIA";"160641"
"533";"RAIMUNDAO";"160516"
"534";"RAIMUNDO_GOMES_DE_MATOS";"74216"
"535";"RATINHO_JUNIOR";"141403"
"536";"RAUL_HENRY";"141523"
"537";"RAUL_LIMA";"160656"
"538";"REBECCA_GARCIA";"141525"
"539";"REGINALDO_LOPES";"74161"
"540";"REGUFFE";"89282"
"541";"REINALDO_AZAMBUJA";"160615"
"542";"REINHOLD_STEPHANES";"73786"
"543";"RENAN_FILHO";"160623"
"544";"RENATO_ANDRADE";"171620"
"545";"RENATO_MOLLING";"141527"
"546";"RENATO_SIMOES";"175212"
"547";"RENZO_BRAZ";"160654"
"548";"RIBAMAR_ALVES";"74027"
"549";"RICARDO_ARCHER";"169553"
"550";"RICARDO_ARRUDA";"172945"
"551";"RICARDO_BERZOINI";"74793"
"552";"RICARDO_IZAR";"160655"
"553";"RICARDO_QUIRINO";"150634"
"554";"RICARDO_TRIPOLI";"141472"
"555";"ROBERTO_BALESTRA";"73674"
"556";"ROBERTO_BRITTO";"141529"
"557";"ROBERTO_DE_LUCENA";"160653"
"558";"ROBERTO_DORNER";"161903"
"559";"ROBERTO_FREIRE";"73805"
"560";"ROBERTO_SANTIAGO";"141473"
"561";"ROBERTO_TEIXEIRA";"160652"
"562";"RODRIGO_BETHLEM";"152865"
"563";"RODRIGO_DE_CASTRO";"141531"
"564";"RODRIGO_GARCIA";"88950"
"565";"RODRIGO_MAIA";"74693"
"566";"ROGERIO_CARVALHO";"160568"
"567";"ROGERIO_MARINHO";"141535"
"568";"ROGERIO_PENINHA_MENDONCA";"160651"
